danmaku,zone,time,total_time
太强了,digital,709.23400,738
从白天玩到晚上的炉石,digital,377.88800,738
牛,digital,585.52600,738
2小时55分钟,digital,44.22200,738
哈哈哈哈哈哈哈哈哈,digital,231.43700,738
厉害，大佬啊,digital,705.80200,738
哈哈哈哈太狠了,digital,240.27800,738
信息过载,digital,528.16300,738
B战首页也出现了，诶~,digital,393.44200,738
少了一个小时,digital,6.02300,738
后面在玩战棋哈哈,digital,381.74500,738
哈哈哈哈哈,digital,131.12200,738
继续玩手机,digital,325.37600,738
因果倒置，削弱力度最强,digital,84.82000,738
我我我我哇啊啊啊啊啊,digital,306.00500,738
卧槽,digital,578.16400,738
太真实了 我哭了,digital,331.11300,738
吾日三省吾身,digital,496.45000,738
3,digital,212.41300,738
？？？？？,digital,90.30800,738
会，这种紧张情况下我玩起来感觉更刺激。。,digital,310.94000,738
为什么要借手机,digital,47.10900,738
不愧是你,digital,737.17000,738
文案满分,digital,736.16500,738
期末了。。。天了噜,digital,331.54100,738
"我想要快乐,看心情,写作业所以我来了",digital,496.20200,738
有用回来再投币（）,digital,718.90000,738
明天交毕业论文 还有3万字 是我吗,digital,323.04900,738
后面的同学在吃香蕉,digital,380.39700,738
那两位朋友该送去杨教授那治治了,digital,240.61700,738
hhhhhhhhh,digital,124.98400,738
棒！,digital,597.28800,738
为什么监视我的生活,digital,376.74400,738
乂,digital,550.59000,738
安卓猛男落泪,digital,140.18800,738
来了,digital,9.84900,738
酒馆战棋一起啊！,digital,376.23100,738
太狠了,digital,237.15400,738
整活高手,digital,382.24400,738
可能不是主观减少，但是客观减少也不错啊，长期下来就会对主观产生影响,digital,202.15400,738
这就卸载b站,digital,460.76100,738
哈哈哈,digital,122.82400,738
与我iOS何干……,digital,605.17100,738
哈哈哈哈哈,digital,427.47200,738
？？？？？,digital,97.44000,738
熟悉的宿舍背景,digital,316.62400,738
真实！,digital,331.39300,738
草DNA动了,digital,300.98400,738
棒棒棒,digital,738.00000,738
下个钉钉,digital,289.88800,738
谢谢,digital,636.42000,738
的确，明天考试，我还在看视频,digital,300.77800,738
我有两个手机，玩的更多了,digital,113.61500,738
有被内涵到,digital,275.26400,738
想完了限定时间就过完了,digital,626.26900,738
我觉得这些统计不科学，不同人不一样需求,digital,118.62600,738
xswl哈哈哈哈哈,digital,124.84100,738
看完你的视频，更焦虑了,digital,388.65500,738
思想钢印,digital,290.16200,738
真实,digital,330.82600,738
不用抖音,digital,420.59800,738
兼职美妆博主,digital,658.52000,738
666,digital,129.09400,738
我明天真的有考试！哭,digital,302.96800,738
真.大佬,digital,574.47100,738
每期一定！,digital,718.58500,738
我高三的时候就这样,digital,155.18400,738
心肺停止,digital,300.22500,738
小何牛逼,digital,734.85200,738
小何nb！,digital,679.03800,738
妙啊,digital,550.15100,738
这家伙老有钱了,digital,90.23600,738
好家伙,digital,127.95400,738
wow,digital,498.43600,738
那要是打排位时间到了，挂机怎么办,digital,613.98000,738
看小说去了吧,digital,246.13000,738
小说党没变化,digital,240.34000,738
必须投一个,digital,733.41800,738
这就退了b站！三连来不及了,digital,680.15200,738
别骂了别骂了,digital,315.64900,738
组队？,digital,32.96500,738
哈哈哈哈哈太可爱了,digital,232.30900,738
唔…因果倒置了。是没有使用手机需求的人不勤换手机,digital,76.13700,738
来了,digital,20.34000,738
地铁，老人，挤眼.jpg,digital,82.20200,738
还是太闲了,digital,290.59800,738
我懂了  我换小灵通,digital,703.18100,738
哈哈哈哈哈哈哈哈,digital,429.04500,738
好家伙,digital,117.13300,738
霉霉耶,digital,410.43000,738
？？？？？？,digital,102.78000,738
太现实了,digital,334.50800,738
单向时光机这个比喻妙啊！,digital,398.43100,738
给自己找事做就行了,digital,273.26000,738
这不就是我吗淦,digital,309.79200,738
哈哈哈哈哈哈哈哈,digital,121.15100,738
我也是，刚开始还好，后来，这个功能没用,digital,137.15100,738
老师好,digital,10.16000,738
？？？？？？？？？？？,digital,172.61900,738
有道理,digital,513.85800,738
优秀,digital,731.61100,738
哦,digital,121.99100,738
