id,name,grade,category,tag_name,book_num
105019,天地劫：幽城再临,8.7,角色扮演,"['角色扮演', '3D', '高画质', '武侠']",527915
105116,道友别推塔,5.0,策略,"['策略', '塔防', '封神榜', '哪吒', '神仙有道，妖亦有灵']",36456
105077,正义太空（Space Justice）,10.0,休闲,"['休闲', '手机游戏', '游戏', '银河的射手', 'Space Justice']",23721
105078,剑圣：战争（Juggernaut Wars）,8.0,角色扮演,"['角色扮演', '角色扮演', 'RPG', '手机游戏']",23848
105027,幻想生活,10.0,休闲,"['休闲', '豪华声优', '热血战斗', '自由职业', '建设村庄', '多人同乐']",36616
105100,一念逍遥,8.6,放置,"['放置', '修仙', '挂机', '社交', '修真', '放置']",109920
105069,荒古奇谭,5.2,类Rogue,"['类Rogue', '卡牌', '武侠', '国风', 'roguelike', '爬塔']",24458
105061,偌星,9.4,策略,"['策略', '养成', '科幻', '太空', '模拟经营', '多人在线']",222550
105053,战国布武,7.7,策略,"['策略', '策略', '竞技', '浮世绘', 'slg', '日本战国']",36953
105068,萌萌塔,6.8,类Rogue,"['类Rogue', '冒险', 'Roguelike', '地牢', '勇者']",23899
105051,放置大魔王,9.2,放置,"['放置', '卡牌', '3D', '即时战斗', '放置挂机']",24001
105013,魔天记,8.8,策略,"['策略', '玄幻', '小说', '修仙', '魔天记', '王宇']",37556
105021,《酒店帝国大亨》；休闲；游戏,8.0,模拟经营,"['模拟经营', '休闲', '手机游戏', '手游', '模拟经营', '休闲手游']",24111
105040,不良人3,8.4,动作,"['动作', '无双江湖', '武侠', '正版授权', '不良人', '动作']",62349
104805,风色幻想命运传说,9.1,回合战略,"['回合战略', '日式幻想', '策略', '情怀', '二次元', '战棋']",176437
104687,忘川风华录,9.2,卡牌,"['卡牌', '古风', '剧情', '历史', '国风', '养成']",698106
104483,艾恩洛亚炼金起源之章,9.5,,"['ACG', '剧情', '即时策略', '原创IP', '自由探索']",43526
104988,明朝风云,8.0,养成,"['养成', '养成', '模拟经营', '皇帝', '明朝', '明朝风云']",36883
104986,喧闹的城堡 - 成为避难所的骑士（Hustle Castle）,8.0,策略,"['策略', '手机游戏', '手游', '策略手游', '塔防手游', '城堡']",19901
105000,永不言弃4,8.0,休闲,"['休闲', '音乐', '竞速', '节奏', '跳跃', '永不言弃']",37870
104949,妖精的尾巴 力量觉醒,5.6,角色扮演,"['角色扮演', '妖精的尾巴', '妖尾', '妖精的尾巴 力量觉醒', '魔导士', '哈比']",40056
104971,叫我女皇大人：后宫恋爱游戏,3.0,养成,"['养成', '恋爱养成', '剧情', '男宠', '角色换装']",46170
103860,彩虹联萌,9.7,MMORPG,"['MMORPG', '开放世界', '角色', '手游', 'Q萌']",38033
104978,第九所,9.2,沙盒,['沙盒'],41426
104936,逐鹿三国志 - 经典国战策略手游,3.6,策略,"['策略', '三国志', '乱世王者', '三国策略', '全面战争', '三国霸业']",32295
104925,传奇商店：经营与打造,6.0,休闲,"['休闲', '手机游戏', '游戏', '经营游戏', '海外游戏']",36495
104917,狙击行动3D：代号猎鹰,3.4,射击,"['射击', '手机游戏', '游戏', '射击游戏', '休闲游戏', '轻松解压游戏']",36576
104918,蘑菇战争2,8.7,策略,"['策略', '策略', '战争', '塔防', 'RTS', '蘑菇战争']",37939
104492,临界存在少女,8.7,角色扮演,"['角色扮演', '二次元', '角色扮演']",40688
104871,新盗墓笔记,8.6,角色扮演,"['角色扮演', '盗墓', 'mmo', '盗墓笔记']",47656
104838,深蓝战舰,2.7,策略,"['策略', '海战', '战舰', '战争', '军事', '航海']",36309
104869,御剑仙尘,0.0,角色扮演,"['角色扮演', '策略', '卡牌', '回合', '仙侠', '角色扮演  国风 仙侠  策略 卡牌']",36419
104868,动物王者,7.0,休闲,"['休闲', '手机游戏', '手游', '休闲游戏', '动物王者']",36542
104848,石油大亨,9.0,模拟经营,"['模拟经营', '模拟经营', 'steam移植', '单机经典', 'up推荐']",40550
104407,聊斋搜灵录,9.4,卡牌,"['卡牌', '国风', '聊斋']",38791
104843,杰利的世界,8.4,休闲,"['休闲', '休闲', '放置', '独立游戏', '史莱姆', '冰狮游戏']",24071
104844,蔚蓝特攻,9.6,跑酷,"['跑酷', '二次元', '射击', '休闲', '格斗', '闯关']",39030
104824,幻想Q传,7.0,策略,"['策略', '策略', '卡牌', '战略', '幻想', '三国']",36289
104748,东京偶像计划,9.5,卡牌,"['卡牌', '二次元', 'ACG', '养成', '美少女', '回合制']",40861
104812,大主播,3.2,模拟经营,"['模拟经营', '剧情', '模拟养成', '主播互动', '明星经纪']",45801
104072,灵魂潮汐,9.4,卡牌,"['卡牌', '二次元', '角色扮演', '日系']",352609
104810,环形战争,7.6,类Rogue,"['类Rogue', '策略', '角色扮演', '战棋', '回合制', 'Roguelike']",25843
104791,漫漫江湖,9.4,放置,"['放置', '角色扮演', '水墨', '武侠', '放置挂机', '江湖']",45407
104787,东离剑游纪,9.4,角色扮演,"['角色扮演', '动作', 'ARPG', '武侠', '霹雳武侠']",8664
104689,超级小不点,10.0,多人对战,"['多人对战', '休闲', 'moba', '卡通', 'io']",23884
104688,冒险与深渊,8.3,放置,"['放置', '休闲', '放置', '像素', '自由交易', '成长']",47241
104642,开黑三国,7.3,卡牌,"['卡牌', '历史', '自走棋', '三国演义', 'Q版三国', '爆款手游']",36598
104746,忍者别嚣张,6.0,卡牌,"['卡牌', '二次元', '卡牌', '漫画', '游戏', '手游']",36716
104690,神谕之歌,5.0,卡牌,"['卡牌', '策略', '养成', '放置', '神话', '声优配音']",36702
104585,代号：凛,9.0,养成,"['养成', '二次元', '养成', '剧情', '和风', 'AVG']",58990
104639,夕阳热气球,8.4,休闲,"['休闲', '剧情', '竞技', '弹射', '科学', '历史人物']",43519
104709,音舞大师,5.8,音乐节奏,"['音乐节奏', '音乐', '角色扮演', '节奏', '服装']",37598
104541,苍之骑士团2,9.4,角色扮演,"['角色扮演', '策略', '二次元', '正版授权', '日系']",262971
104697,尸溯,8.8,解谜,"['解谜', '恐怖', '手游', '解密', '探案', '灵异']",27477
104700,诺亚幻想2,9.1,养成,"['养成', '养成', '卡牌', '日系', '文字']",55632
104630,我是练习生,4.8,养成,"['养成', '音乐', '音乐游戏', '舞蹈', '舞蹈派对']",36962
104523,盾之勇者成名录 手游,8.9,角色扮演,"['角色扮演', '勇者系手游', 'Roguelike', '二次元', '美少女', '正版授权']",313948
104624,走方郎中,4.8,文字,"['文字', '恋爱', '乙女', '古风', 'AVG', '文字游戏']",58249
